# time_ps largest_cluster_rg_nm
3322000.000000 8.5697009149
3323000.000000 8.8679345141
3324000.000000 9.9004859554
3325000.000000 8.3812966582
3326000.000000 9.4797895747
3327000.000000 9.0900418604
3328000.000000 10.3550199655
3329000.000000 10.8520371436
3330000.000000 7.3069473365
3331000.000000 8.3923553541
3332000.000000 6.8051336766
3333000.000000 7.2288583284
3334000.000000 7.1813827240
3335000.000000 13.6468356966
3336000.000000 11.5831909486
3337000.000000 5.7018213785
3338000.000000 7.4827086464
3339000.000000 7.9131186911
3340000.000000 8.2844093443
3341000.000000 7.3702671458
3342000.000000 6.3647978215
3343000.000000 5.8889047450
3344000.000000 6.8294904738
3345000.000000 7.2354116921
3346000.000000 7.3777556072
3347000.000000 7.0852148468
3348000.000000 6.4219730854
3349000.000000 5.4461668948
3350000.000000 7.2481852279
3351000.000000 6.0730346233
3352000.000000 7.6868727015
3353000.000000 8.7319342825
3354000.000000 4.3217630964
3355000.000000 10.7718455577
3356000.000000 9.4283100040
3357000.000000 4.5945936122
3358000.000000 7.8077393811
3359000.000000 5.4641591691
3360000.000000 6.0138690627
3361000.000000 6.4566916158
3362000.000000 5.5824794173
3363000.000000 4.9990010572
3364000.000000 4.3728612885
3365000.000000 4.1869295853
3366000.000000 3.1702928278
3367000.000000 4.0035485230
3368000.000000 4.8743335195
3369000.000000 4.1756470569
3370000.000000 4.2243050845
3371000.000000 4.3270282072
3372000.000000 4.0028976926
3373000.000000 5.0205423975
3374000.000000 5.5463634505
3375000.000000 4.0847947574
3376000.000000 3.0685763114
3377000.000000 5.2811133712
3378000.000000 8.3183351064
3379000.000000 3.9816262262
3380000.000000 6.1818034154
3381000.000000 5.4260659507
3382000.000000 4.8278796308
3383000.000000 4.9244078786
3384000.000000 5.6124903059
3385000.000000 12.5494300401
3386000.000000 6.0431697634
3387000.000000 9.8560706873
3388000.000000 5.5679387109
3389000.000000 6.6033771194
3390000.000000 5.8108050739
3391000.000000 6.7011104044
3392000.000000 6.1533043438
3393000.000000 4.0016219670
